ID,Distances,,,5,
250,3280000,,,,
1441,3280000,,,,
1927,3280000,,,,
53,3280000,,,,
1864,3280000,,,,
399,3280000,,,,
1906,3280000,,,,
647,3280000,,,,
2113,3280000,,,,
2609,3270000,,,,
2043,3270000,,,,
2462,3270000,,,,
2515,3270000,,,,
1301,3270000,,,,
146,3270000,,,,
2218,3270000,,,,
461,3270000,,,,
211,3270000,,,,
487,3270000,,,,
1701,3260000,,,,
1188,3260000,,,,
1885,3260000,,,,
157,3260000,,,,
1025,3260000,,,,
283,3260000,,,,
2054,3260000,,,,
35,3260000,,,,
408,3260000,,,,
756,3260000,,,,
1204,3260000,,,,
1345,3260000,,,,
1405,3250000,,,,
196,3250000,,,,
294,3250000,,,,
711,3250000,,,,
1850,3250000,,,,
77,3240000,,,,
2621,3240000,,,,
1464,3240000,,,,
1471,3240000,,,,
2558,3240000,,,,
48,3240000,,,,
171,3240000,,,,
440,3240000,,,,
2429,3240000,,,,
471,3240000,,,,
580,3240000,,,,
124,3240000,,,,
409,3240000,,,,
1023,3230000,,,,
2470,3230000,,,,
2516,3230000,,,,
349,3230000,,,,
878,3230000,,,,
766,3230000,,,,
1165,3220000,,,,
877,3220000,,,,
1736,3220000,,,,
3,3220000,,,,
2535,3220000,,,,
817,3220000,,,,
1098,3220000,,,,
2219,3220000,,,,
2308,3220000,,,,
513,3220000,,,,
1139,3220000,,,,
1551,3210000,,,,
2093,3210000,,,,
875,3210000,,,,
89,3210000,,,,
244,3210000,,,,
547,3210000,,,,
948,3200000,,,,
185,3200000,,,,
921,3200000,,,,
952,3200000,,,,
92,3200000,,,,
263,3200000,,,,
1601,3190000,,,,
1604,3190000,,,,
1090,3180000,,,,
1324,3180000,min: ,3180000,,37100000
